Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Benin,Cereal,Online,M,6/5/2012,104845464,7/24/2012,4957,205.7,117.11,1019654.9,580514.27,439140.63
Sub-Saharan Africa,Tanzania,Cereal,Offline,C,2/21/2014,270723140,3/9/2014,1848,205.7,117.11,380133.6,216419.28,163714.32
Sub-Saharan Africa,Benin,Cereal,Offline,C,12/12/2016,613830459,1/16/2017,4928,205.7,117.11,1013689.6,577118.08,436571.52
Middle East and North Africa,Yemen,Cereal,Offline,H,11/24/2012,266820847,12/10/2012,7073,205.7,117.11,1454916.1,828319.03,626597.07
Asia,Singapore,Cereal,Online,M,7/30/2011,435146415,8/12/2011,8349,205.7,117.11,1717389.3,977751.39,739637.91
Europe,Italy,Cereal,Offline,C,5/11/2013,622791612,5/31/2013,6733,205.7,117.11,1384978.1,788501.63,596476.47
Europe,Lithuania,Cereal,Offline,M,12/19/2013,986442506,1/1/2014,9113,205.7,117.11,1874544.1,1067223.43,807320.67
Middle East and North Africa,Pakistan,Cereal,Offline,M,5/18/2012,563915622,6/10/2012,4019,205.7,117.11,826708.3,470665.09,356043.21
Europe,Bulgaria,Cereal,Online,L,5/6/2010,181045520,5/27/2010,4247,205.7,117.11,873607.9,497366.17,376241.73
Central America and the Caribbean,The Bahamas,Cereal,Offline,L,12/19/2013,450268065,1/4/2014,3181,205.7,117.11,654331.7,372526.91,281804.79
Asia,Philippines,Cereal,Offline,M,10/19/2010,504270160,11/25/2010,3601,205.7,117.11,740725.7,421713.11,319012.59
Middle East and North Africa,Tunisia ,Cereal,Online,H,12/1/2015,263506495,12/14/2015,6283,205.7,117.11,1292413.1,735802.13,556610.97
Europe,Liechtenstein,Cereal,Offline,L,6/2/2017,721767270,7/18/2017,5829,205.7,117.11,1199025.3,682634.19,516391.11
Europe,Czech Republic,Cereal,Online,H,3/2/2014,761439931,3/28/2014,5851,205.7,117.11,1203550.7,685210.61,518340.09
Australia and Oceania,Kiribati,Cereal,Offline,L,7/24/2012,905392587,8/16/2012,4641,205.7,117.11,954653.7,543507.51,411146.19
Asia,Uzbekistan,Cereal,Offline,C,10/15/2016,916881453,11/28/2016,4452,205.7,117.11,915776.4,521373.72,394402.68
Europe,Liechtenstein,Cereal,Online,L,8/4/2016,676121222,9/9/2016,8149,205.7,117.11,1676249.3,954329.39,721919.91
Central America and the Caribbean,The Bahamas,Cereal,Offline,M,11/27/2012,735968816,12/6/2012,8382,205.7,117.11,1724177.4,981616.02,742561.38
Sub-Saharan Africa,Niger,Cereal,Offline,L,6/16/2012,640942227,7/4/2012,7903,205.7,117.11,1625647.1,925520.33,700126.77
Middle East and North Africa,Somalia,Cereal,Offline,C,6/25/2015,215434443,6/30/2015,694,205.7,117.11,142755.8,81274.34,61481.46
Europe,Cyprus,Cereal,Offline,M,11/19/2011,141940200,1/2/2012,2114,205.7,117.11,434849.8,247570.54,187279.26
Middle East and North Africa,Qatar,Cereal,Offline,C,8/5/2014,180412948,8/24/2014,7055,205.7,117.11,1451213.5,826211.05,625002.45
Sub-Saharan Africa,Kenya,Cereal,Online,H,10/11/2015,473555219,11/6/2015,4368,205.7,117.11,898497.6,511536.48,386961.12
Central America and the Caribbean,Cuba,Cereal,Offline,L,3/30/2015,925405299,5/1/2015,6847,205.7,117.11,1408427.9,801852.17,606575.73
Europe,Switzerland,Cereal,Offline,C,2/20/2013,423159730,4/11/2013,1222,205.7,117.11,251365.4,143108.42,108256.98
Sub-Saharan Africa,Mauritius ,Cereal,Offline,L,8/2/2016,994566810,9/1/2016,3275,205.7,117.11,673667.5,383535.25,290132.25
Europe,Sweden,Cereal,Online,L,11/12/2010,247776305,11/30/2010,1370,205.7,117.11,281809.0,160440.7,121368.3
Sub-Saharan Africa,Sudan,Cereal,Online,M,8/17/2013,860287702,9/11/2013,7103,205.7,117.11,1461087.1,831832.33,629254.77
Europe,Czech Republic,Cereal,Offline,H,6/29/2012,594540441,7/30/2012,6583,205.7,117.11,1354123.1,770935.13,583187.97
Australia and Oceania,Tuvalu,Cereal,Offline,C,2/12/2014,133362710,3/23/2014,3844,205.7,117.11,790710.8,450170.84,340539.96
Middle East and North Africa,Afghanistan,Cereal,Offline,C,12/19/2015,808538234,1/16/2016,3286,205.7,117.11,675930.2,384823.46,291106.74
Europe,Slovenia,Cereal,Offline,H,5/22/2010,901180875,5/26/2010,8302,205.7,117.11,1707721.4,972247.22,735474.18
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,L,1/23/2015,138867890,2/22/2015,2950,205.7,117.11,606815.0,345474.5,261340.5
Sub-Saharan Africa,Madagascar,Cereal,Offline,H,8/18/2016,469414317,8/19/2016,8983,205.7,117.11,1847803.1,1051999.13,795803.97
Central America and the Caribbean,Dominican Republic,Cereal,Offline,H,10/21/2014,110442054,11/20/2014,1113,205.7,117.11,228944.1,130343.43,98600.67
Australia and Oceania,Solomon Islands,Cereal,Offline,C,11/8/2010,940870702,11/21/2010,3404,205.7,117.11,700202.8,398642.44,301560.36
Australia and Oceania,Marshall Islands,Cereal,Online,L,5/29/2017,148871457,7/6/2017,3227,205.7,117.11,663793.9,377913.97,285879.93
Sub-Saharan Africa,Botswana,Cereal,Online,C,5/3/2017,129268586,6/21/2017,2302,205.7,117.11,473521.4,269587.22,203934.18
Europe,Belarus,Cereal,Offline,C,5/31/2012,261765420,7/17/2012,1060,205.7,117.11,218042.0,124136.6,93905.4
Asia,Cambodia,Cereal,Online,L,10/3/2011,899853074,10/26/2011,5376,205.7,117.11,1105843.2,629583.36,476259.84
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,L,7/30/2016,105390059,8/25/2016,6115,205.7,117.11,1257855.5,716127.65,541727.85
Europe,Germany,Cereal,Offline,M,10/7/2011,957276809,11/4/2011,8335,205.7,117.11,1714509.5,976111.85,738397.65
Sub-Saharan Africa,Senegal,Cereal,Offline,M,3/23/2017,630488908,4/30/2017,4534,205.7,117.11,932643.8,530976.74,401667.06
Middle East and North Africa,Yemen,Cereal,Online,H,5/10/2013,785261380,5/26/2013,5147,205.7,117.11,1058737.9,602765.17,455972.73
Australia and Oceania,Tuvalu,Cereal,Online,C,3/27/2013,935644042,5/15/2013,6719,205.7,117.11,1382098.3,786862.09,595236.21
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Offline,M,4/27/2015,267066323,5/19/2015,9715,205.7,117.11,1998375.5,1137723.65,860651.85
Europe,Cyprus,Cereal,Online,C,7/13/2014,941909682,8/1/2014,861,205.7,117.11,177107.7,100831.71,76275.99
Australia and Oceania,Vanuatu,Cereal,Online,L,2/3/2017,877259004,2/16/2017,9289,205.7,117.11,1910747.3,1087834.79,822912.51
Australia and Oceania,Palau,Cereal,Offline,L,10/6/2010,494468724,10/23/2010,3139,205.7,117.11,645692.3,367608.29,278084.01
Asia,Nepal,Cereal,Offline,H,1/13/2015,677284657,1/15/2015,2436,205.7,117.11,501085.2,285279.96,215805.24
Sub-Saharan Africa,Mauritius ,Cereal,Offline,C,6/25/2015,859686028,7/10/2015,9055,205.7,117.11,1862613.5,1060431.05,802182.45
Middle East and North Africa,Morocco,Cereal,Online,H,10/2/2012,795315158,10/26/2012,284,205.7,117.11,58418.8,33259.24,25159.56
Asia,India,Cereal,Online,C,3/27/2010,160299813,4/6/2010,5132,205.7,117.11,1055652.4,601008.52,454643.88
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,H,2/21/2016,708063542,3/19/2016,592,205.7,117.11,121774.4,69329.12,52445.28
Europe,Austria,Cereal,Online,L,8/18/2014,753585135,9/13/2014,1443,205.7,117.11,296825.1,168989.73,127835.37
Australia and Oceania,Fiji,Cereal,Online,L,3/10/2017,903278148,4/3/2017,8932,205.7,117.11,1837312.4,1046026.52,791285.88
Sub-Saharan Africa,Liberia,Cereal,Offline,H,12/17/2015,642683303,1/20/2016,3126,205.7,117.11,643018.2,366085.86,276932.34
Europe,Portugal,Cereal,Offline,C,4/10/2014,811546599,5/8/2014,3528,205.7,117.11,725709.6,413164.08,312545.52
